lon,lat,source,riverside_pct,rest_pct,diff_pp,wide_riverside_pct,wide_rest_pct,wide_diff_pp,best_diff_pp
36.796,-1.2815,narrow,86.65039466173256,30.225982344426285,56.424412317306285,43.925431800760016,45.429537096317915,-1.504105295557899,56.424412317306285
36.9173,-1.2906,narrow,77.98087034904103,23.15180316559996,54.82906718344106,39.76675684601348,48.81873733389026,-9.051980487876783,54.82906718344106
36.796,-1.2499,narrow,96.14586933978569,43.8058623307295,52.34000700905619,18.36199259089494,14.534295389404694,3.8276972014902455,52.34000700905619
36.8005,-1.2137,narrow,76.51682984349317,26.21218162651099,50.30464821698219,35.133584192860965,26.49943739637165,8.634146796489315,50.30464821698219
36.9308,-1.1686,narrow,82.05111445192497,40.50166560547758,41.549448846447405,54.37767253944924,42.63624353336609,11.741429006083152,41.549448846447405
36.814,-1.277,narrow,93.27506310515014,53.890551830890985,39.38451127425915,81.03764371262616,62.04821915440421,18.989424558221955,39.38451127425915
37.061,-1.2772,narrow,79.4579428093845,40.656241989233536,38.80170082015097,54.99816331463657,51.119281454018605,3.878881860617966,38.80170082015097
37.0745,-1.2908,narrow,52.9561539789401,14.862671094593368,38.09348288434673,21.796720541312958,19.42704693349007,2.369673607822886,38.09348288434673
36.8904,-1.2002,narrow,78.56956101132117,42.09765159102527,36.47190942029591,54.03891795020827,56.58267581995112,-2.543757869742848,36.47190942029591
36.814,-1.2725,narrow,100,65.35497177594443,34.645028224055565,81.97749079470054,63.37905645764974,18.598434337050804,34.645028224055565
36.8904,-1.2364,narrow,57.695729537366546,23.361887318051235,34.333842219315315,59.04350799213608,60.26063671637256,-1.2171287242364812,34.333842219315315
36.9757,-1.259,narrow,74.43946188340803,40.430961409770255,34.008500473637774,33.374764604523094,27.712508511720053,5.662256092803041,34.008500473637774
36.9308,-1.2409,narrow,99.71426010174581,69.01130486706407,30.70295523468174,60.098281771341654,57.8945351760645,2.2037465952771527,30.70295523468174
36.9757,-1.2229,narrow,78.91249491249492,49.42453320211049,29.487961710384436,23.54611967358968,23.7785329886236,-0.23241331503392004,29.487961710384436
36.9308,-1.2183,narrow,100,70.63194184331023,29.36805815668977,53.43313633144591,70.20743794720701,-16.774301615761104,29.36805815668977
36.8634,-1.2364,narrow,53.374076903488664,25.10037126922637,28.273705634262296,28.215785687766854,25.44246302676069,2.773322661006162,28.273705634262296
36.9576,-1.4263,narrow,77.74867671569076,49.55620529420977,28.192471421480985,60.24856767724992,39.555938979874846,20.692628697375078,28.192471421480985
36.8095,-1.2725,narrow,89.88446411012782,63.54905468948626,26.335409420641565,80.32423163360106,56.839464867846445,23.484766765754614,26.335409420641565
36.9353,-1.2409,narrow,56.465565540888804,30.194583330514185,26.270982210374623,53.16835743093705,45.61975330261474,7.54860412832231,26.270982210374623
36.9218,-1.2771,narrow,99.49822671745699,73.35069172130378,26.14753499615321,71.78033041317875,77.7293397073307,-5.949009294151949,26.14753499615321
36.8544,-1.2589,narrow,77.42424662727583,51.93018904065186,25.494057586623974,80.4249465864534,70.39554876019831,10.029397826255092,25.494057586623974
36.814,-1.2228,narrow,56.009517957299934,30.789782729573638,25.219735227726297,16.938190195767287,14.169148940217285,2.769041255550002,25.219735227726297
36.778,-1.2905,narrow,78.5242703139473,56.083796384181404,22.440473929765894,51.490237688304916,56.61480128669639,-5.124563598391475,22.440473929765894
36.8589,-1.259,"narrow,saturated",100,77.880135637506,22.119864362494003,93.07012908583076,84.46731661233763,8.602812473493131,22.119864362494003
36.8948,-1.2364,narrow,51.141341515257906,29.207327819247936,21.934013696009973,67.5847781450551,62.99492181790315,4.589856327151949,21.934013696009973
36.8769,-1.2544,saturated,100,83.93572276669819,16.064277233301805,96.72052085845189,93.9562664168242,2.764254441627685,16.064277233301805
36.8544,-1.2544,saturated,100,98.74112410212528,1.2588758978747228,70.60039006905276,56.55131323123014,14.049076837822625,14.049076837822625
36.8724,-1.2816,saturated,100,87.2384658999433,12.761534100056704,62.26742684733417,86.9193101952912,-24.651883347957032,12.761534100056704
36.8454,-1.3132,saturated,100,89.94023777248485,10.059762227515145,97.91000737644455,92.64365299119198,5.266354385252569,10.059762227515145
36.787,-1.3131,saturated,100,99.33732615296861,0.662673847031392,97.0395253370421,88.57481665509937,8.464708681942724,8.464708681942724
36.8589,-1.2635,saturated,100,98.63762701052535,1.3623729894746472,92.2066443828918,84.24104708037365,7.965597302518148,7.965597302518148
36.8858,-1.2635,saturated,100,99.85270417800267,0.1472958219973286,91.7061353169357,83.98298449147856,7.7231508254571395,7.7231508254571395
36.8813,-1.268,saturated,100,92.81748299875188,7.182517001248112,83.60563441672598,78.52612123929615,5.079513177429831,7.182517001248112
36.8724,-1.2499,saturated,100,93.32690011612502,6.673099883874977,96.81392329555423,93.34677665275763,3.4671466427966067,6.673099883874977
36.8544,-1.3132,saturated,100,97.19607648865549,2.8039235113445082,98.26279216677194,92.24077840847347,6.0220137582984705,6.0220137582984705
36.8903,-1.259,saturated,100,98.86158314845734,1.1384168515426563,98.07325585579103,92.17371860774291,5.899537248048119,5.899537248048119
36.8813,-1.2635,saturated,100,95.32677737056831,4.673222629431695,84.84440606503446,79.12090363376582,5.723502431268642,5.723502431268642
36.8409,-1.2861,saturated,100,95.0457897343284,4.954210265671599,89.05298163404127,90.45183909657676,-1.3988574625354886,4.954210265671599
36.8679,-1.2861,saturated,100,96.4533276631937,3.546672336806289,73.53291666518449,88.428681349757,-14.895764684572512,3.546672336806289
36.8454,-1.3087,saturated,100,96.86846292287227,3.131537077127733,97.85176582442247,94.3621255669526,3.4896402574698726,3.4896402574698726
36.8814,-1.2454,saturated,100,97.41340650892629,2.5865934910737187,60.78919736755077,80.62010542828428,-19.830908060733506,2.5865934910737187
36.7825,-1.3131,saturated,100,100,0,92.32292084081918,89.86761163582011,2.455309204999068,2.455309204999068
36.8948,-1.2409,saturated,100,99.84871347818269,0.1512865218173176,72.27239568575202,70.96470863160665,1.3076870541453616,1.3076870541453616
36.8544,-1.2906,saturated,100,98.87902233163355,1.1209776683664519,88.58984903056258,91.80871730001951,-3.2188682694569337,1.1209776683664519
36.8409,-1.3041,saturated,100,99.33250004908088,0.667499950919126,95.18125683221555,97.46936788511171,-2.2881110528961557,0.667499950919126
36.8768,-1.3087,saturated,100,99.78783327855827,0.2121667214417311,92.02328499481472,94.87454796554556,-2.8512629707308434,0.2121667214417311
36.9487,-1.2545,saturated,100,99.86764934862718,0.13235065137281454,77.93483638419674,80.70263160983036,-2.76779522563362,0.13235065137281454
36.8274,-1.2815,saturated,100,99.89497435897437,0.10502564102563561,88.01586882087966,93.23963862637041,-5.223769805490747,0.10502564102563561
36.8768,-1.3132,saturated,100,100,0,91.94901628321689,96.18276850102528,-4.233752217808387,0
